technology	tissue	sex	timepoint	experiment_accession	library_accession	file_accession
Parse	Cortex	Male	PNM_18-20	ENCSR883XZK	ENCLB075CEB	ENCFF147KJQ
Parse	Cortex	Male	PNM_18-20	ENCSR883XZK	ENCLB132HUB	ENCFF857PGA
Parse	Cortex	Female	PND_04	ENCSR632SJM	ENCLB797XUM	ENCFF122YOJ
Parse	Cortex	Female	PND_04	ENCSR632SJM	ENCLB998QFD	ENCFF780SSC
Parse	Cortex	Male	PND_04	ENCSR220GBV	ENCLB807BQV	ENCFF654VZJ
Parse	Cortex	Male	PND_04	ENCSR220GBV	ENCLB927HPV	ENCFF559WXW
Parse	Cortex	Female	PND_10	ENCSR257BOU	ENCLB536VVO	ENCFF894MDZ
Parse	Cortex	Female	PND_10	ENCSR257BOU	ENCLB475JGQ	ENCFF948AMT
Parse	Cortex	Male	PND_10	ENCSR386PPF	ENCLB626ZWO	ENCFF722YTU
Parse	Cortex	Male	PND_10	ENCSR386PPF	ENCLB070DDL	ENCFF385LFB
Parse	Cortex	Female	PND_14	ENCSR081SXM	ENCLB861UVF	ENCFF311YXE
Parse	Cortex	Female	PND_14	ENCSR081SXM	ENCLB984ILH	ENCFF339FUL
Parse	Cortex	Male	PND_14	ENCSR659DFF	ENCLB106CMC	ENCFF020HJU
Parse	Cortex	Male	PND_14	ENCSR659DFF	ENCLB893EDU	ENCFF317TJO
Parse	Cortex	Female	PND_25	ENCSR964OQW	ENCLB440WWI	ENCFF825LSW
Parse	Cortex	Female	PND_25	ENCSR964OQW	ENCLB156QHU	ENCFF792BFX
Parse	Cortex	Male	PND_25	ENCSR544MGC	ENCLB283GKO	ENCFF724BUA
Parse	Cortex	Male	PND_25	ENCSR544MGC	ENCLB154DIW	ENCFF310JQS
Parse	Cortex	Female	PND_36	ENCSR302VFA	ENCLB956KBS	ENCFF515VDG
Parse	Cortex	Female	PND_36	ENCSR302VFA	ENCLB885MNL	ENCFF227ZRS
Parse	Cortex	Male	PND_36	ENCSR132KMR	ENCLB066LUV	ENCFF116IRO
Parse	Cortex	Male	PND_36	ENCSR132KMR	ENCLB242KYL	ENCFF318CRR
Parse	Cortex	Female	PNM_02	ENCSR178PKG	ENCLB891WAL	ENCFF014CRV
Parse	Cortex	Female	PNM_02	ENCSR178PKG	ENCLB972QSW	ENCFF163PFY
Parse	Cortex	Male	PNM_02	ENCSR250SCW	ENCLB223DPT	ENCFF982HYB
Parse	Cortex	Male	PNM_02	ENCSR250SCW	ENCLB799LCJ	ENCFF642UFR
Parse	Cortex	Female	PNM_18-20	ENCSR092RYV	ENCLB311ZJJ	ENCFF582LJF
Parse	Cortex	Female	PNM_18-20	ENCSR092RYV	ENCLB920FTQ	ENCFF175QZK
Parse	Cortex	Male	PNM_18-20	ENCSR134FSZ	ENCLB956ELF	ENCFF897EPA
Parse	Cortex	Male	PNM_18-20	ENCSR134FSZ	ENCLB039CRC	ENCFF468MRD
