"","spearman_correlation","assay","id","host_gene_id","host_gene_name","mirna_id","mirna_name","host_gene_stable_id"
"24",-0.218348994170084,"polyA plus RNA-seq","Mst1 (Mir7088)","ENSMUSG00000032591.15","Mst1","ENSMUSG00000098787.1","Mir7088","ENSMUSG00000032591"
"25",-0.215444644237573,"polyA plus RNA-seq","Fbrs (Mir7060)","ENSMUSG00000042423.9","Fbrs","ENSMUSG00000098267.1","Mir7060","ENSMUSG00000042423"
"26",-0.212368114405612,"polyA plus RNA-seq","Sfmbt2 (Mir669c)","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000076118.1","Mir669c","ENSMUSG00000061186"
"27",-0.211311176659206,"polyA plus RNA-seq","Cul4a (Mir7065)","ENSMUSG00000031446.14","Cul4a","ENSMUSG00000098532.1","Mir7065","ENSMUSG00000031446"
"28",-0.196059549255499,"polyA plus RNA-seq","Pgs1 (Mir6933)","ENSMUSG00000017715.11","Pgs1","ENSMUSG00000098958.1","Mir6933","ENSMUSG00000017715"
"29",-0.194683319416148,"polyA plus RNA-seq","Prmt2 (Mir678)","ENSMUSG00000020230.15","Prmt2","ENSMUSG00000076068.1","Mir678","ENSMUSG00000020230"
"30",-0.193709355494152,"polyA plus RNA-seq","A330023F24Rik (Mir29c)","ENSMUSG00000096929.7","A330023F24Rik","ENSMUSG00000065548.1","Mir29c","ENSMUSG00000096929"
"31",-0.190659206755173,"polyA plus RNA-seq","Sfmbt2 (Mir669a-3)","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000076028.1","Mir669a-3","ENSMUSG00000061186"
"32",-0.187960974048051,"polyA plus RNA-seq","Scamp4 (Mir6912)","ENSMUSG00000113949.1","Scamp4","ENSMUSG00000099283.1","Mir6912","ENSMUSG00000113949"
"33",-0.187916989714104,"polyA plus RNA-seq","Myh3 (Mir6923)","ENSMUSG00000020908.14","Myh3","ENSMUSG00000098855.1","Mir6923","ENSMUSG00000020908"
"34",-0.183755133283766,"polyA plus RNA-seq","Marf1 (Gm27671)","ENSMUSG00000060657.8","Marf1","ENSMUSG00000098652.1","Gm27671","ENSMUSG00000060657"
"35",-0.182281809876741,"polyA plus RNA-seq","Miga2 (Gm47292)","ENSMUSG00000026858.18","Miga2","ENSMUSG00000105537.1","Gm47292","ENSMUSG00000026858"
"36",-0.172780699745859,"polyA plus RNA-seq","Ctdspl (Mir26a-1)","ENSMUSG00000047409.13","Ctdspl","ENSMUSG00000065513.1","Mir26a-1","ENSMUSG00000047409"
"37",-0.169296961487803,"polyA plus RNA-seq","Camk2a (Mir7220)","ENSMUSG00000024617.16","Camk2a","ENSMUSG00000098247.1","Mir7220","ENSMUSG00000024617"
"38",-0.169104117832494,"polyA plus RNA-seq","Mmgt1 (Mir5116)","ENSMUSG00000061273.3","Mmgt1","ENSMUSG00000092787.1","Mir5116","ENSMUSG00000061273"
"39",-0.168726081566828,"polyA plus RNA-seq","Pde1c (Gm44413)","ENSMUSG00000004347.16","Pde1c","ENSMUSG00000106152.1","Gm44413","ENSMUSG00000004347"
"40",-0.165414843329707,"polyA plus RNA-seq","Foxj2 (Mir7231)","ENSMUSG00000003154.15","Foxj2","ENSMUSG00000106580.1","Mir7231","ENSMUSG00000003154"
"41",-0.164240349374848,"polyA plus RNA-seq","Nlrp5 (Gm25196)","ENSMUSG00000015721.18","Nlrp5","ENSMUSG00000095946.1","Gm25196","ENSMUSG00000015721"
"42",-0.163054942061829,"polyA plus RNA-seq","Mib1 (Mir1b)","ENSMUSG00000024294.14","Mib1","ENSMUSG00000080662.1","Mir1b","ENSMUSG00000024294"
"43",-0.161839862059965,"polyA plus RNA-seq","Gm27028 (Mir30c-2)","ENSMUSG00000097970.1","Gm27028","ENSMUSG00000065567.1","Mir30c-2","ENSMUSG00000097970"
"44",-0.158735831660434,"polyA plus RNA-seq","Lin54 (Gm23222)","ENSMUSG00000035310.15","Lin54","ENSMUSG00000088742.1","Gm23222","ENSMUSG00000035310"
"45",-0.158669290866727,"polyA plus RNA-seq","A330023F24Rik (Mir29b-2)","ENSMUSG00000096929.7","A330023F24Rik","ENSMUSG00000065412.3","Mir29b-2","ENSMUSG00000096929"
"46",-0.157568177400325,"polyA plus RNA-seq","Sfmbt2 (Gm26491)","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000095843.1","Gm26491","ENSMUSG00000061186"
"47",-0.154845376853456,"polyA plus RNA-seq","BC017158 (Mir3103)","ENSMUSG00000030780.15","BC017158","ENSMUSG00000093215.1","Mir3103","ENSMUSG00000030780"
"48",-0.152790105075073,"polyA plus RNA-seq","Gm15884 (Mir200c)","ENSMUSG00000087327.1","Gm15884","ENSMUSG00000065462.3","Mir200c","ENSMUSG00000087327"
"49",-0.15264922805842,"polyA plus RNA-seq","Gm49322 (Mir6912)","ENSMUSG00000035370.9","Gm49322","ENSMUSG00000099283.1","Mir6912","ENSMUSG00000035370"
"50",-0.152451900179197,"polyA plus RNA-seq","Sfmbt2 (Mir466h)","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000077941.1","Mir466h","ENSMUSG00000061186"
"51",-0.151716092478264,"polyA plus RNA-seq","Sfmbt2 (Mir669e)","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000080653.1","Mir669e","ENSMUSG00000061186"
"52",-0.148426528894979,"polyA plus RNA-seq","Rpl18a (Mir7067)","ENSMUSG00000045128.9","Rpl18a","ENSMUSG00000098710.1","Mir7067","ENSMUSG00000045128"
"53",-0.147488503679637,"polyA plus RNA-seq","Mirg (Mir154)","ENSMUSG00000097391.8","Mirg","ENSMUSG00000065448.2","Mir154","ENSMUSG00000097391"
"54",-0.146012045360449,"polyA plus RNA-seq","Scarna3b (Mir1843a)","ENSMUSG00000088158.1","Scarna3b","ENSMUSG00000105972.1","Mir1843a","ENSMUSG00000088158"
"55",-0.144162653328168,"polyA plus RNA-seq","Srebf1 (Mir6921)","ENSMUSG00000020538.15","Srebf1","ENSMUSG00000098547.1","Mir6921","ENSMUSG00000020538"
"56",-0.143181048331922,"polyA plus RNA-seq","Sfmbt2 (Gm22239)","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000092961.1","Gm22239","ENSMUSG00000061186"
"57",-0.13991461819627,"polyA plus RNA-seq","Gm26691 (Mir1895)","ENSMUSG00000097911.2","Gm26691","ENSMUSG00000084564.1","Mir1895","ENSMUSG00000097911"
"58",-0.139438346853047,"polyA plus RNA-seq","Ptprm (Mir5709)","ENSMUSG00000033278.10","Ptprm","ENSMUSG00000093508.1","Mir5709","ENSMUSG00000033278"
"59",-0.136292302211722,"polyA plus RNA-seq","Gm15884 (Mir141)","ENSMUSG00000087327.1","Gm15884","ENSMUSG00000065474.1","Mir141","ENSMUSG00000087327"
"60",-0.136216391167762,"polyA plus RNA-seq","Camk2a (Mir6982)","ENSMUSG00000024617.16","Camk2a","ENSMUSG00000098475.1","Mir6982","ENSMUSG00000024617"
"61",-0.135971992956074,"polyA plus RNA-seq","Vwa5b2 (Mir1224)","ENSMUSG00000046613.19","Vwa5b2","ENSMUSG00000080669.1","Mir1224","ENSMUSG00000046613"
"62",-0.135586510262979,"polyA plus RNA-seq","Srf (Mir6976)","ENSMUSG00000015605.6","Srf","ENSMUSG00000106514.1","Mir6976","ENSMUSG00000015605"
"63",-0.133076290393667,"polyA plus RNA-seq","Tcf20 (Mir3080)","ENSMUSG00000041852.15","Tcf20","ENSMUSG00000092751.1","Mir3080","ENSMUSG00000041852"
"64",-0.132638634024784,"polyA plus RNA-seq","Sfmbt2 (Gm24806)","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000080686.1","Gm24806","ENSMUSG00000061186"
"65",-0.131862349049692,"polyA plus RNA-seq","Shb (Gm22518)","ENSMUSG00000044813.15","Shb","ENSMUSG00000088892.1","Gm22518","ENSMUSG00000044813"
"66",-0.131849838633072,"polyA plus RNA-seq","Sfmbt2 (Gm26398)","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000094327.1","Gm26398","ENSMUSG00000061186"
"67",-0.130724536110545,"polyA plus RNA-seq","Adam19 (Mir8100)","ENSMUSG00000011256.16","Adam19","ENSMUSG00000098942.1","Mir8100","ENSMUSG00000011256"
"68",-0.128838549323473,"polyA plus RNA-seq","Eif4e (Mir1956)","ENSMUSG00000028156.12","Eif4e","ENSMUSG00000088373.3","Mir1956","ENSMUSG00000028156"
"69",-0.122673134241167,"polyA plus RNA-seq","Gm47079 (Mir1900)","ENSMUSG00000110790.1","Gm47079","ENSMUSG00000084663.1","Mir1900","ENSMUSG00000110790"
"70",-0.121680743396445,"polyA plus RNA-seq","Skiv2l (Mir6971)","ENSMUSG00000040356.16","Skiv2l","ENSMUSG00000098458.1","Mir6971","ENSMUSG00000040356"
"71",-0.120260800234041,"polyA plus RNA-seq","Arl10 (Gm24195)","ENSMUSG00000025870.10","Arl10","ENSMUSG00000080454.3","Gm24195","ENSMUSG00000025870"
"72",-0.118717420459269,"polyA plus RNA-seq","Tmem94 (Mir5621)","ENSMUSG00000020747.17","Tmem94","ENSMUSG00000093539.1","Mir5621","ENSMUSG00000020747"
"73",-0.118670306740621,"polyA plus RNA-seq","Kif1c (Mir6925)","ENSMUSG00000020821.17","Kif1c","ENSMUSG00000105932.1","Mir6925","ENSMUSG00000020821"
"74",-0.118028054990152,"polyA plus RNA-seq","Ahsa1 (Gm47293)","ENSMUSG00000021037.7","Ahsa1","ENSMUSG00000106561.1","Gm47293","ENSMUSG00000021037"
"75",-0.116687267331116,"polyA plus RNA-seq","Mirg (Mir134)","ENSMUSG00000097391.8","Mirg","ENSMUSG00000065426.3","Mir134","ENSMUSG00000097391"
"76",-0.116324774233002,"polyA plus RNA-seq","Wwp2 (Mir140)","ENSMUSG00000031930.11","Wwp2","ENSMUSG00000065439.1","Mir140","ENSMUSG00000031930"
"77",-0.116207181891027,"polyA plus RNA-seq","Mfsd13a (Mir146b)","ENSMUSG00000025227.14","Mfsd13a","ENSMUSG00000070127.2","Mir146b","ENSMUSG00000025227"
"78",-0.116153859722097,"polyA plus RNA-seq","Sfmbt2 (Mir467c)","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000077049.2","Mir467c","ENSMUSG00000061186"
"79",-0.112190345422249,"polyA plus RNA-seq","Foxd3 (Gm23366)","ENSMUSG00000067261.4","Foxd3","ENSMUSG00000092763.1","Gm23366","ENSMUSG00000067261"
"80",-0.11163398754442,"polyA plus RNA-seq","Tchp (Mir7028)","ENSMUSG00000002486.15","Tchp","ENSMUSG00000098656.1","Mir7028","ENSMUSG00000002486"
"81",-0.109668539322583,"polyA plus RNA-seq","Huwe1 (Mir3113)","ENSMUSG00000025261.17","Huwe1","ENSMUSG00000093219.1","Mir3113","ENSMUSG00000025261"
"82",-0.109634030737039,"polyA plus RNA-seq","Gm45837 (Mir139)","ENSMUSG00000030653.17","Gm45837","ENSMUSG00000065446.1","Mir139","ENSMUSG00000030653"
"83",-0.109574629636489,"polyA plus RNA-seq","Ctdsp2 (Mir546)","ENSMUSG00000078429.9","Ctdsp2","ENSMUSG00000072837.1","Mir546","ENSMUSG00000078429"
"84",-0.10938071232395,"polyA plus RNA-seq","Gria4 (Gm23811)","ENSMUSG00000025892.16","Gria4","ENSMUSG00000092896.2","Gm23811","ENSMUSG00000025892"
"85",-0.108728410525064,"polyA plus RNA-seq","Rassf4 (Mir7043)","ENSMUSG00000042129.8","Rassf4","ENSMUSG00000098334.1","Mir7043","ENSMUSG00000042129"
"86",-0.108662192857708,"polyA plus RNA-seq","Rnf19a (Mir8097)","ENSMUSG00000022280.9","Rnf19a","ENSMUSG00000098457.1","Mir8097","ENSMUSG00000022280"
"87",-0.107528993835185,"polyA plus RNA-seq","Sfmbt2 (Mir297b)","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000076222.1","Mir297b","ENSMUSG00000061186"
"88",-0.107488480403087,"polyA plus RNA-seq","Gm2044 (Mir202)","ENSMUSG00000085354.1","Gm2044","ENSMUSG00000065502.1","Mir202","ENSMUSG00000085354"
"89",-0.10705361034358,"polyA plus RNA-seq","Gm11613 (Gm24158)","ENSMUSG00000085586.1","Gm11613","ENSMUSG00000093004.1","Gm24158","ENSMUSG00000085586"
"90",-0.105704512230259,"polyA plus RNA-seq","Map2k4 (Mir744)","ENSMUSG00000033352.11","Map2k4","ENSMUSG00000076460.1","Mir744","ENSMUSG00000033352"
"91",-0.105120227652229,"polyA plus RNA-seq","Gm45233 (Mir7051)","ENSMUSG00000107482.2","Gm45233","ENSMUSG00000099210.1","Mir7051","ENSMUSG00000107482"
"92",-0.104892445579111,"polyA plus RNA-seq","Copz1 (Mir148b)","ENSMUSG00000060992.9","Copz1","ENSMUSG00000065560.1","Mir148b","ENSMUSG00000060992"
"93",-0.103976745713041,"polyA plus RNA-seq","Pou2f2 (Mir6537)","ENSMUSG00000008496.19","Pou2f2","ENSMUSG00000098441.1","Mir6537","ENSMUSG00000008496"
"94",-0.103316731583469,"polyA plus RNA-seq","Slit2 (Mir218-1)","ENSMUSG00000031558.15","Slit2","ENSMUSG00000065603.1","Mir218-1","ENSMUSG00000031558"
"95",-0.102946552775482,"polyA plus RNA-seq","Gabra3 (Mir105)","ENSMUSG00000031343.13","Gabra3","ENSMUSG00000077847.1","Mir105","ENSMUSG00000031343"
"96",-0.10285775069854,"polyA plus RNA-seq","Nudt4 (Mir3058)","ENSMUSG00000020029.6","Nudt4","ENSMUSG00000092867.1","Mir3058","ENSMUSG00000020029"
"97",-0.10272074191675,"polyA plus RNA-seq","Plpp2 (Mir6909)","ENSMUSG00000052151.12","Plpp2","ENSMUSG00000098414.1","Mir6909","ENSMUSG00000052151"
"98",-0.102696246479121,"polyA plus RNA-seq","Cfap43 (Mir8090)","ENSMUSG00000044948.17","Cfap43","ENSMUSG00000099069.1","Mir8090","ENSMUSG00000044948"
"99",-0.102342709743468,"polyA plus RNA-seq","Gm49325 (Mir1930)","ENSMUSG00000112241.1","Gm49325","ENSMUSG00000089424.1","Mir1930","ENSMUSG00000112241"
"100",-0.0991751763660381,"polyA plus RNA-seq","Ankrd52 (Mir6915)","ENSMUSG00000014498.9","Ankrd52","ENSMUSG00000106600.1","Mir6915","ENSMUSG00000014498"
"101",-0.0991735768807116,"polyA plus RNA-seq","Rtl1 (Mir3071)","ENSMUSG00000085925.3","Rtl1","ENSMUSG00000070129.2","Mir3071","ENSMUSG00000085925"
"102",-0.0985631524885596,"polyA plus RNA-seq","Peak1 (Gm24270)","ENSMUSG00000074305.9","Peak1","ENSMUSG00000076281.1","Gm24270","ENSMUSG00000074305"
"103",-0.0979281418289841,"polyA plus RNA-seq","Gm48551 (Mir6913)","ENSMUSG00000113262.1","Gm48551","ENSMUSG00000098811.1","Mir6913","ENSMUSG00000113262"
"104",-0.0976660629088008,"polyA plus RNA-seq","Acly (Mir7116)","ENSMUSG00000020917.17","Acly","ENSMUSG00000104854.1","Mir7116","ENSMUSG00000020917"
"105",-0.0974759966517876,"polyA plus RNA-seq","Sfmbt2 (Gm23988)","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000080684.1","Gm23988","ENSMUSG00000061186"
"106",-0.0974750239452046,"polyA plus RNA-seq","Lingo2 (Mir876)","ENSMUSG00000045083.14","Lingo2","ENSMUSG00000077851.1","Mir876","ENSMUSG00000045083"
"107",-0.0954932415612504,"polyA plus RNA-seq","Dohh (Mir6913)","ENSMUSG00000078440.10","Dohh","ENSMUSG00000098811.1","Mir6913","ENSMUSG00000078440"
"108",-0.094694043789404,"polyA plus RNA-seq","Cdk12 (Mir5119)","ENSMUSG00000003119.14","Cdk12","ENSMUSG00000093176.1","Mir5119","ENSMUSG00000003119"
"109",-0.0941220421282183,"polyA plus RNA-seq","Sf3a3 (Mir697)","ENSMUSG00000028902.4","Sf3a3","ENSMUSG00000076271.1","Mir697","ENSMUSG00000028902"
"110",-0.0938615849543009,"polyA plus RNA-seq","Cln3 (Mir7059)","ENSMUSG00000030720.16","Cln3","ENSMUSG00000098540.1","Mir7059","ENSMUSG00000030720"
"111",-0.0924502340136395,"polyA plus RNA-seq","Dmpk (Mir3100)","ENSMUSG00000030409.15","Dmpk","ENSMUSG00000092659.1","Mir3100","ENSMUSG00000030409"
"112",-0.0922185803446169,"polyA plus RNA-seq","Fnbp1l (Mir7657)","ENSMUSG00000039735.15","Fnbp1l","ENSMUSG00000104773.1","Mir7657","ENSMUSG00000039735"
"113",-0.091964141355443,"polyA plus RNA-seq","Cd82 (Mir7001)","ENSMUSG00000027215.13","Cd82","ENSMUSG00000099238.1","Mir7001","ENSMUSG00000027215"
"114",-0.0918993791607464,"polyA plus RNA-seq","Huwe1 (Mir98)","ENSMUSG00000025261.17","Huwe1","ENSMUSG00000065536.2","Mir98","ENSMUSG00000025261"
"115",-0.0917415651993821,"polyA plus RNA-seq","Ryr1 (Mir1963)","ENSMUSG00000030592.18","Ryr1","ENSMUSG00000089219.1","Mir1963","ENSMUSG00000030592"
"116",-0.0917413821027686,"polyA plus RNA-seq","Mirg (Mir453)","ENSMUSG00000097391.8","Mirg","ENSMUSG00000077925.1","Mir453","ENSMUSG00000097391"
"117",-0.0915004315058423,"polyA plus RNA-seq","Taf1d (Gm49349)","ENSMUSG00000031939.16","Taf1d","ENSMUSG00000106649.1","Gm49349","ENSMUSG00000031939"
"118",-0.0909649206396588,"polyA plus RNA-seq","Sfmbt2 (Mir466f-2)","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000077998.1","Mir466f-2","ENSMUSG00000061186"
"119",-0.0909191687018843,"polyA plus RNA-seq","Nelfa (Mir7024)","ENSMUSG00000029111.7","Nelfa","ENSMUSG00000098830.1","Mir7024","ENSMUSG00000029111"
"120",-0.0905811624608156,"polyA plus RNA-seq","Gm6277 (Mir1901)","ENSMUSG00000097440.2","Gm6277","ENSMUSG00000084565.1","Mir1901","ENSMUSG00000097440"
"121",-0.0904015973010205,"polyA plus RNA-seq","Sfmbt2 (Mir467a-1)","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000096624.1","Mir467a-1","ENSMUSG00000061186"
"122",-0.0901878796346235,"polyA plus RNA-seq","Mirg (Mir410)","ENSMUSG00000097391.8","Mirg","ENSMUSG00000065497.1","Mir410","ENSMUSG00000097391"
"123",-0.0898590507569178,"polyA plus RNA-seq","Bsn (Gm47303)","ENSMUSG00000032589.14","Bsn","ENSMUSG00000106657.1","Gm47303","ENSMUSG00000032589"
"124",-0.0890533347450348,"polyA plus RNA-seq","Syvn1 (Mir6988)","ENSMUSG00000024807.18","Syvn1","ENSMUSG00000098928.1","Mir6988","ENSMUSG00000024807"
"125",-0.0890001635183043,"polyA plus RNA-seq","Clps (Mir6969)","ENSMUSG00000024225.5","Clps","ENSMUSG00000099152.1","Mir6969","ENSMUSG00000024225"
"126",-0.0887187337257181,"polyA plus RNA-seq","Sfmbt2 (Mir466l)","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000078060.1","Mir466l","ENSMUSG00000061186"
"127",-0.0881318729130422,"polyA plus RNA-seq","Ndufa10 (Mir6900)","ENSMUSG00000026260.12","Ndufa10","ENSMUSG00000098288.1","Mir6900","ENSMUSG00000026260"
"128",-0.0879750690648435,"polyA plus RNA-seq","Mirg (Mir496a)","ENSMUSG00000097391.8","Mirg","ENSMUSG00000070136.1","Mir496a","ENSMUSG00000097391"
"129",-0.087711932891267,"polyA plus RNA-seq","Sfmbt2 (Mir466o)","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000078026.1","Mir466o","ENSMUSG00000061186"
"130",-0.0871177181755972,"polyA plus RNA-seq","Mirg (Mir382)","ENSMUSG00000097391.8","Mirg","ENSMUSG00000065428.4","Mir382","ENSMUSG00000097391"
"131",-0.087081407400584,"polyA plus RNA-seq","Meg3 (Mir1906-1)","ENSMUSG00000021268.17","Meg3","ENSMUSG00000084535.1","Mir1906-1","ENSMUSG00000021268"
"132",-0.0863871586150422,"polyA plus RNA-seq","Dcaf5 (Mir1843a)","ENSMUSG00000049106.7","Dcaf5","ENSMUSG00000105972.1","Mir1843a","ENSMUSG00000049106"
"133",-0.0863168161987739,"polyA plus RNA-seq","Ubn2 (Mir7670)","ENSMUSG00000038538.17","Ubn2","ENSMUSG00000098285.1","Mir7670","ENSMUSG00000038538"
"134",-0.0856770592710451,"polyA plus RNA-seq","Sgsm2 (Mir6926)","ENSMUSG00000038351.14","Sgsm2","ENSMUSG00000098317.1","Mir6926","ENSMUSG00000038351"
"135",-0.0839998648566107,"polyA plus RNA-seq","Gm20547 (Mir6972)","ENSMUSG00000092511.7","Gm20547","ENSMUSG00000098445.1","Mir6972","ENSMUSG00000092511"
"136",-0.0826379501149089,"polyA plus RNA-seq","Sox1ot (Gm25239)","ENSMUSG00000047935.17","Sox1ot","ENSMUSG00000092656.1","Gm25239","ENSMUSG00000047935"
"137",-0.0825181319230892,"polyA plus RNA-seq","Retreg1 (Mir7212)","ENSMUSG00000022270.16","Retreg1","ENSMUSG00000098719.1","Mir7212","ENSMUSG00000022270"
"138",-0.081832775211641,"polyA plus RNA-seq","Wdfy2 (Mir6541)","ENSMUSG00000014547.10","Wdfy2","ENSMUSG00000098858.1","Mir6541","ENSMUSG00000014547"
"139",-0.0808608552245698,"polyA plus RNA-seq","Gm25500 (mmu-mir-7650)","ENSMUSG00000077614.1","Gm25500","ENSMUSG00000105847.1","mmu-mir-7650","ENSMUSG00000077614"
"140",-0.0797250122185548,"polyA plus RNA-seq","Sfmbt2 (Mir466m)","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000092793.1","Mir466m","ENSMUSG00000061186"
"141",-0.0787385058692587,"polyA plus RNA-seq","Tspan15 (Mir7662)","ENSMUSG00000037031.10","Tspan15","ENSMUSG00000099185.1","Mir7662","ENSMUSG00000037031"
"142",-0.0768752246570273,"polyA plus RNA-seq","Bin2 (Mir6961)","ENSMUSG00000098112.7","Bin2","ENSMUSG00000098527.1","Mir6961","ENSMUSG00000098112"
"143",-0.0758532019406312,"polyA plus RNA-seq","Scd2 (Mir5114)","ENSMUSG00000025203.6","Scd2","ENSMUSG00000093315.1","Mir5114","ENSMUSG00000025203"
"144",-0.075452765348653,"polyA plus RNA-seq","3110039I08Rik (Mirlet7a-2)","ENSMUSG00000074415.14","3110039I08Rik","ENSMUSG00000092770.1","Mirlet7a-2","ENSMUSG00000074415"
"145",-0.0746545279109023,"polyA plus RNA-seq","Sirt7 (Mir6936)","ENSMUSG00000025138.14","Sirt7","ENSMUSG00000098282.1","Mir6936","ENSMUSG00000025138"
"146",-0.0744834307784984,"polyA plus RNA-seq","Man1c1 (Mir6403)","ENSMUSG00000037306.13","Man1c1","ENSMUSG00000099289.1","Mir6403","ENSMUSG00000037306"
"147",-0.0742129099357085,"polyA plus RNA-seq","Arsb (Mir5624)","ENSMUSG00000042082.7","Arsb","ENSMUSG00000093480.1","Mir5624","ENSMUSG00000042082"
"148",-0.0741810195289174,"polyA plus RNA-seq","Samd12 (Mir28c)","ENSMUSG00000058656.13","Samd12","ENSMUSG00000104794.1","Mir28c","ENSMUSG00000058656"
"149",-0.0737875650186134,"polyA plus RNA-seq","Fbxo6 (Mir7022)","ENSMUSG00000055401.14","Fbxo6","ENSMUSG00000099043.1","Mir7022","ENSMUSG00000055401"
