File accession	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Tissue_short	Age_short	Sex_short	Rep_short	Sample	Biological replicate(s)	Biosample type	Biosample organism	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR				Sample
ENCFF683HUO	mm10	ENCSR288BJQ	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0002369	adrenal gland	A	2m	F	1	A_2m_F_1	1	tissue	Mus musculus	RNA					reverse	6/17/21	ENCODE			1	1_1	"/files/ENCFF766PQC/, /files/ENCFF363TFV/"	11894893	ENCODE Processing Pipeline	9d622d8efbb8b8e57ffad966b3ee2379		https://www.encodeproject.org/files/ENCFF683HUO/@@download/ENCFF683HUO.tsv	M21			released	s3://encode-public/2021/05/24/8cfcf67c-acec-4c60-9318-43de32dd7d4b/ENCFF683HUO.tsv	ENCODE4 v1.2.3 mm10 M21	released							A_2m_F_1
ENCFF883HID	mm10	ENCSR288BJQ	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0002369	adrenal gland	A	2m	F	2	A_2m_F_2	2	tissue	Mus musculus	RNA					reverse	6/17/21	ENCODE			2	2_1	"/files/ENCFF806VAL/, /files/ENCFF363TFV/"	11893788	ENCODE Processing Pipeline	b6af7bd8b1cfdd3e3558fa5fbd6e35e0		https://www.encodeproject.org/files/ENCFF883HID/@@download/ENCFF883HID.tsv	M21			released	s3://encode-public/2021/05/24/b53f76f7-cebf-4100-8bae-cf1449e369af/ENCFF883HID.tsv	ENCODE4 v1.2.3 mm10 M21	released							A_2m_F_2
ENCFF810TZV	mm10	ENCSR300EHA	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0002369	adrenal gland	A	25	M	1	A_25_M_1	1	tissue	Mus musculus	RNA					reverse	6/17/21	ENCODE			1	1_1	"/files/ENCFF612MMB/, /files/ENCFF363TFV/"	11892746	ENCODE Processing Pipeline	e5d6d50ec4d79e8abc22efed4250cb5d		https://www.encodeproject.org/files/ENCFF810TZV/@@download/ENCFF810TZV.tsv	M21			released	s3://encode-public/2021/05/24/7ebb0556-c29e-44a6-b2ac-44205bfabbba/ENCFF810TZV.tsv	ENCODE4 v1.2.3 mm10 M21	released	low replicate concordance						A_25_M_1
ENCFF237JNC	mm10	ENCSR300EHA	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0002369	adrenal gland	A	25	M	2	A_25_M_2	2	tissue	Mus musculus	RNA					reverse	6/17/21	ENCODE			2	2_1	"/files/ENCFF408OQC/, /files/ENCFF363TFV/"	11892111	ENCODE Processing Pipeline	e03712220f15c5261c3d777cf8ffb395		https://www.encodeproject.org/files/ENCFF237JNC/@@download/ENCFF237JNC.tsv	M21			released	s3://encode-public/2021/05/24/e9315c5f-6940-43c9-862b-51a9b740cad0/ENCFF237JNC.tsv	ENCODE4 v1.2.3 mm10 M21	released	low replicate concordance						A_25_M_2
ENCFF652OPR	mm10	ENCSR301QXH	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0002369	adrenal gland	A	36	M	1	A_36_M_1	1	tissue	Mus musculus	RNA					reverse	6/17/21	ENCODE			1	1_1	"/files/ENCFF239RBI/, /files/ENCFF363TFV/"	11895542	ENCODE Processing Pipeline	fdf332be220768ee3e25c3b76c21767a		https://www.encodeproject.org/files/ENCFF652OPR/@@download/ENCFF652OPR.tsv	M21			released	s3://encode-public/2021/05/24/3204805f-29b7-4b7f-89fe-c2ba5980473b/ENCFF652OPR.tsv	ENCODE4 v1.2.3 mm10 M21	released							A_36_M_1
ENCFF411HPY	mm10	ENCSR301QXH	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0002369	adrenal gland	A	36	M	2	A_36_M_2	2	tissue	Mus musculus	RNA					reverse	6/17/21	ENCODE			2	2_1	"/files/ENCFF272NXW/, /files/ENCFF363TFV/"	11885016	ENCODE Processing Pipeline	5c84cb6d4d560bc4221ea54edfd48fa9		https://www.encodeproject.org/files/ENCFF411HPY/@@download/ENCFF411HPY.tsv	M21			released	s3://encode-public/2021/05/24/8a22dd05-5be8-4ea9-85e8-d94474cd7235/ENCFF411HPY.tsv	ENCODE4 v1.2.3 mm10 M21	released							A_36_M_2
ENCFF994FNZ	mm10	ENCSR414YUZ	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0002369	adrenal gland	A	14	F	1	A_14_F_1	1	tissue	Mus musculus	RNA					reverse	6/17/21	ENCODE			1	1_1	"/files/ENCFF363TFV/, /files/ENCFF612KBD/"	11889112	ENCODE Processing Pipeline	ba1a55e7076eeca3cfecc9d6ef06a047		https://www.encodeproject.org/files/ENCFF994FNZ/@@download/ENCFF994FNZ.tsv	M21			released	s3://encode-public/2021/05/24/1b9cf9e4-ec10-4fbf-9210-9a6b17fa9191/ENCFF994FNZ.tsv	ENCODE4 v1.2.3 mm10 M21	released	low replicate concordance						A_14_F_1
ENCFF494ELZ	mm10	ENCSR414YUZ	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0002369	adrenal gland	A	14	F	2	A_14_F_2	2	tissue	Mus musculus	RNA					reverse	6/17/21	ENCODE			2	2_1	"/files/ENCFF363TFV/, /files/ENCFF253OMT/"	11885402	ENCODE Processing Pipeline	3cca43d71f980efd21d864a7c50f8b29		https://www.encodeproject.org/files/ENCFF494ELZ/@@download/ENCFF494ELZ.tsv	M21			released	s3://encode-public/2021/05/24/38ac3318-47c2-4699-8f37-a4b9ecf80209/ENCFF494ELZ.tsv	ENCODE4 v1.2.3 mm10 M21	released	low replicate concordance						A_14_F_2
ENCFF104BHG	mm10	ENCSR442XRH	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0002369	adrenal gland	A	18m	F	1	A_18m_F_1	1	tissue	Mus musculus	RNA					reverse	6/17/21	ENCODE			1	1_1	"/files/ENCFF208AFG/, /files/ENCFF363TFV/"	11899186	ENCODE Processing Pipeline	aef4030a8c8d28f2d0c82e3e3bc3d6a6		https://www.encodeproject.org/files/ENCFF104BHG/@@download/ENCFF104BHG.tsv	M21			released	s3://encode-public/2021/05/24/79c0f78a-ac6e-4402-999a-de2ae9e60940/ENCFF104BHG.tsv	ENCODE4 v1.2.3 mm10 M21	released							A_18m_F_1
ENCFF288KSK	mm10	ENCSR442XRH	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0002369	adrenal gland	A	18m	F	2	A_18m_F_2	2	tissue	Mus musculus	RNA					reverse	6/17/21	ENCODE			2	2_1	"/files/ENCFF363TFV/, /files/ENCFF969BOT/"	11895725	ENCODE Processing Pipeline	ca05b9144c688717c3a47e5120479ca8		https://www.encodeproject.org/files/ENCFF288KSK/@@download/ENCFF288KSK.tsv	M21			released	s3://encode-public/2021/05/24/6b7175b4-77b1-4d60-983a-3f86ff6f19e9/ENCFF288KSK.tsv	ENCODE4 v1.2.3 mm10 M21	released							A_18m_F_2
ENCFF383XOT	mm10	ENCSR495QVE	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0002369	adrenal gland	A	25	F	1	A_25_F_1	1	tissue	Mus musculus	RNA					reverse	10/11/21	ENCODE			1	1_1	"/files/ENCFF363TFV/, /files/ENCFF240XAQ/"	11854061	ENCODE Processing Pipeline	d588356e96232685f32e9f31dda0997c		https://www.encodeproject.org/files/ENCFF383XOT/@@download/ENCFF383XOT.tsv	M21			released	s3://encode-public/2021/05/24/2561e395-d555-4658-944e-a585568b3eab/ENCFF383XOT.tsv	ENCODE4 v1.2.3 mm10 M21	released							A_25_F_1
ENCFF252CIM	mm10	ENCSR495QVE	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0002369	adrenal gland	A	25	F	2	A_25_F_2	2	tissue	Mus musculus	RNA					reverse	10/11/21	ENCODE			2	2_1	"/files/ENCFF363TFV/, /files/ENCFF622FVB/"	11889440	ENCODE Processing Pipeline	8fd483349ca00dc092186922512b24de		https://www.encodeproject.org/files/ENCFF252CIM/@@download/ENCFF252CIM.tsv	M21			released	s3://encode-public/2021/05/24/1aa8bcee-0e07-4f8a-b038-c88057594d4a/ENCFF252CIM.tsv	ENCODE4 v1.2.3 mm10 M21	released							A_25_F_2
ENCFF859PQU	mm10	ENCSR511LAZ	total RNA-seq	/mouse-donors/ENCDO996MUL/	UBERON:0002369	adrenal gland	A	8m	F	1	A_8m_F_1	1	tissue	Mus musculus	RNA					reverse	2/23/22	ENCODE			1	1_1	"/files/ENCFF615UMH/, /files/ENCFF363TFV/"	11895389	ENCODE Processing Pipeline	c84fe4d840ffd87ca3ed87b5a35527cd		https://www.encodeproject.org/files/ENCFF859PQU/@@download/ENCFF859PQU.tsv	M21			released	s3://encode-public/2022/02/10/43c3078b-e72e-485c-9482-96e245990b9e/ENCFF859PQU.tsv	ENCODE4 v1.2.4 mm10 M21	released							A_8m_F_1
ENCFF359XUU	mm10	ENCSR511LAZ	total RNA-seq	/mouse-donors/ENCDO996MUL/	UBERON:0002369	adrenal gland	A	8m	F	2	A_8m_F_2	2	tissue	Mus musculus	RNA					reverse	2/23/22	ENCODE			2	2_1	"/files/ENCFF874WYN/, /files/ENCFF363TFV/"	11888994	ENCODE Processing Pipeline	66ec7efee268bd0e7f081a330247f0f9		https://www.encodeproject.org/files/ENCFF359XUU/@@download/ENCFF359XUU.tsv	M21			released	s3://encode-public/2022/02/10/e5e67657-1d3d-4205-b872-cc574fce63c9/ENCFF359XUU.tsv	ENCODE4 v1.2.4 mm10 M21	released							A_8m_F_2
ENCFF873AYF	mm10	ENCSR571OZD	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0002369	adrenal gland	A	14	M	1	A_14_M_1	1	tissue	Mus musculus	RNA					reverse	6/17/21	ENCODE			1	1_1	"/files/ENCFF212JKP/, /files/ENCFF363TFV/"	11883476	ENCODE Processing Pipeline	57091a91e76adb92d7960e5aecfa7da5		https://www.encodeproject.org/files/ENCFF873AYF/@@download/ENCFF873AYF.tsv	M21			released	s3://encode-public/2021/05/24/bb0fa2ec-c9f3-4178-a54d-f394208b3295/ENCFF873AYF.tsv	ENCODE4 v1.2.3 mm10 M21	released							A_14_M_1
ENCFF623IZD	mm10	ENCSR571OZD	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0002369	adrenal gland	A	14	M	2	A_14_M_2	2	tissue	Mus musculus	RNA					reverse	6/17/21	ENCODE			2	2_1	"/files/ENCFF552IZX/, /files/ENCFF363TFV/"	11890189	ENCODE Processing Pipeline	356ac2a07b364a06d566d93d4bb2300e		https://www.encodeproject.org/files/ENCFF623IZD/@@download/ENCFF623IZD.tsv	M21			released	s3://encode-public/2021/05/24/8b31d307-364e-490b-87ba-bc32ed4286db/ENCFF623IZD.tsv	ENCODE4 v1.2.3 mm10 M21	released							A_14_M_2
ENCFF162LZL	mm10	ENCSR652VMD	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0002369	adrenal gland	A	10	M	1	A_10_M_1	1	tissue	Mus musculus	RNA					reverse	6/17/21	ENCODE			1	1_1	"/files/ENCFF363TFV/, /files/ENCFF907THY/"	11894037	ENCODE Processing Pipeline	b23bc7bcf1932db783575970279f0904		https://www.encodeproject.org/files/ENCFF162LZL/@@download/ENCFF162LZL.tsv	M21			released	s3://encode-public/2021/05/24/5c828b8b-ed67-47a4-ac2a-f004ea8f85eb/ENCFF162LZL.tsv	ENCODE4 v1.2.3 mm10 M21	released							A_10_M_1
ENCFF441VAF	mm10	ENCSR652VMD	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0002369	adrenal gland	A	10	M	2	A_10_M_2	2	tissue	Mus musculus	RNA					reverse	6/17/21	ENCODE			2	2_1	"/files/ENCFF363TFV/, /files/ENCFF402ARC/"	11896060	ENCODE Processing Pipeline	bb4a085e1f53646057f792a483ad6772		https://www.encodeproject.org/files/ENCFF441VAF/@@download/ENCFF441VAF.tsv	M21			released	s3://encode-public/2021/05/24/416793de-fcb3-489f-9000-aab735c5145d/ENCFF441VAF.tsv	ENCODE4 v1.2.3 mm10 M21	released							A_10_M_2
ENCFF004WIG	mm10	ENCSR713OCQ	polyA plus RNA-seq	/mouse-donors/ENCDO072AAA/	UBERON:0002369	adrenal gland	A	10w	NA	2	A_10w_NA_2	1	tissue	Mus musculus	polyadenylated mRNA		RNeasy Lipid Tissue Mini Kit (QIAGEN cat#74804)			reverse	12/8/14	ENCODE	chemical (Illumina TruSeq)	350-450	1	1_2	"/files/ENCFF549SBW/, /files/ENCFF363TFV/"	11785725	ENCODE Processing Pipeline	b0e516388a69c9812c54097cd99a2002		https://www.encodeproject.org/files/ENCFF004WIG/@@download/ENCFF004WIG.tsv	M21			released	s3://encode-public/2021/04/17/6aa59b88-980b-4ba7-a583-753d7c30a86e/ENCFF004WIG.tsv	ENCODE4 v1.2.3 mm10 M21	released	"low replicate concordance, low read depth"						A_10w_NA_1
ENCFF272UAV	mm10	ENCSR713OCQ	polyA plus RNA-seq	/mouse-donors/ENCDO072AAA/	UBERON:0002369	adrenal gland	A	10w	NA	1	A_10w_NA_1	1	tissue	Mus musculus	polyadenylated mRNA		RNeasy Lipid Tissue Mini Kit (QIAGEN cat#74804)			reverse	12/8/14	ENCODE	chemical (Illumina TruSeq)	350-450	1	1_1	"/files/ENCFF363TFV/, /files/ENCFF062OSS/"	11796281	ENCODE Processing Pipeline	99f970c80767d0c2b5528235045645a1		https://www.encodeproject.org/files/ENCFF272UAV/@@download/ENCFF272UAV.tsv	M21			released	s3://encode-public/2021/04/17/902e213b-604f-491c-a916-234bd31a2ba3/ENCFF272UAV.tsv	ENCODE4 v1.2.3 mm10 M21	released	"low replicate concordance, low read depth"						A_10w_NA_1
ENCFF620BCT	mm10	ENCSR739PEB	polyA plus RNA-seq	/mouse-donors/ENCDO956IXV/	UBERON:0002369	adrenal gland	A	0	NA	1	A_0_NA_1	1	tissue	Mus musculus	polyadenylated mRNA		Ambion mirVana			unstranded	6/23/15	ENCODE	chemical (Nextera tagmentation)	>200	1	1_1	"/files/ENCFF363TFV/, /files/ENCFF243GUO/"	11904254	ENCODE Processing Pipeline	d13d40ff888b214ad8d07c89737fdd2d		https://www.encodeproject.org/files/ENCFF620BCT/@@download/ENCFF620BCT.tsv	M21			released	s3://encode-public/2021/03/15/81c5bf71-085a-4ef5-963b-ab58a166dbb7/ENCFF620BCT.tsv	ENCODE4 v1.2.1 mm10 M21	released							A_0_NA_1
ENCFF660GWQ	mm10	ENCSR739PEB	polyA plus RNA-seq	/mouse-donors/ENCDO956IXV/	UBERON:0002369	adrenal gland	A	0	NA	2	A_0_NA_2	2	tissue	Mus musculus	polyadenylated mRNA		Ambion mirVana			unstranded	6/23/15	ENCODE	chemical (Nextera tagmentation)	>200	2	2_1	"/files/ENCFF363TFV/, /files/ENCFF647IJO/"	11897590	ENCODE Processing Pipeline	8d38261ef919035294b5e131524f4fae		https://www.encodeproject.org/files/ENCFF660GWQ/@@download/ENCFF660GWQ.tsv	M21			released	s3://encode-public/2021/03/15/8fb173f6-c03a-4fa1-9632-1bdf8ed559df/ENCFF660GWQ.tsv	ENCODE4 v1.2.1 mm10 M21	released							A_0_NA_2
ENCFF890GTZ	mm10	ENCSR748DUR	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0002369	adrenal gland	A	18m	M	1	A_18m_M_1	1	tissue	Mus musculus	RNA					reverse	6/17/21	ENCODE			1	1_1	"/files/ENCFF363TFV/, /files/ENCFF713ANK/"	11893794	ENCODE Processing Pipeline	8aba0c8e732bcc543f941bb271a2595e		https://www.encodeproject.org/files/ENCFF890GTZ/@@download/ENCFF890GTZ.tsv	M21			released	s3://encode-public/2021/05/24/52e77159-420c-4bf6-9fe8-56fbacdc2ffc/ENCFF890GTZ.tsv	ENCODE4 v1.2.3 mm10 M21	released							A_18m_M_1
ENCFF895AMS	mm10	ENCSR920ABO	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0002369	adrenal gland	A	4	M	1	A_4_M_1	1	tissue	Mus musculus	RNA					reverse	6/17/21	ENCODE			1	1_1	"/files/ENCFF363TFV/, /files/ENCFF645EQT/"	11889717	ENCODE Processing Pipeline	ed57347496e0ce1eb6b0cd5e5f674914		https://www.encodeproject.org/files/ENCFF895AMS/@@download/ENCFF895AMS.tsv	M21			released	s3://encode-public/2021/05/24/11a237a3-d9d9-45b9-96ec-152d82560d9e/ENCFF895AMS.tsv	ENCODE4 v1.2.3 mm10 M21	released							A_4_M_1
ENCFF273CWW	mm10	ENCSR920ABO	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0002369	adrenal gland	A	4	M	2	A_4_M_2	2	tissue	Mus musculus	RNA					reverse	6/17/21	ENCODE			2	2_1	"/files/ENCFF363TFV/, /files/ENCFF179VHX/"	11883846	ENCODE Processing Pipeline	1d201b0330f99894119fdf4c970ba62a		https://www.encodeproject.org/files/ENCFF273CWW/@@download/ENCFF273CWW.tsv	M21			released	s3://encode-public/2021/05/24/c4b42d6c-5904-45c0-ba16-58e790b6882c/ENCFF273CWW.tsv	ENCODE4 v1.2.3 mm10 M21	released							A_4_M_2
ENCFF863QMB	mm10	ENCSR000AHY	polyA plus RNA-seq	/mouse-donors/ENCDO321TZV/	EFO:0001098	C2C12	MB	NA	F	1	MB_NA_F_1	1	cell line	Mus musculus	polyadenylated mRNA		Trizol			unstranded	5/7/12	ENCODE	chemical (generic)	>200	1	1_1	"/files/ENCFF363TFV/, /files/ENCFF015TXM/"	11846471	ENCODE Processing Pipeline	a937bb2fe4a26184e78c01f1f9fd6b5b		https://www.encodeproject.org/files/ENCFF863QMB/@@download/ENCFF863QMB.tsv	M21			released	s3://encode-public/2021/03/15/0a5cc771-4ad4-4ab6-a6d3-01fe348ce874/ENCFF863QMB.tsv	ENCODE4 v1.2.1 mm10 M21	released	missing spikeins						MB_NA_F_1
ENCFF406BLP	mm10	ENCSR538WYL	polyA plus RNA-seq	/mouse-donors/ENCDO956IXV/	UBERON:0012314	embryonic facial prominence	EFP	13.5	NA	1	EFP_13.5_NA_1	1	tissue	Mus musculus	polyadenylated mRNA		Ambion mirVana			unstranded	10/13/15	ENCODE	chemical (Nextera tagmentation)	>200	1	1_1	"/files/ENCFF363TFV/, /files/ENCFF346SKI/"	11881049	ENCODE Processing Pipeline	a15464f22a979a93c8d8d411d2070551		https://www.encodeproject.org/files/ENCFF406BLP/@@download/ENCFF406BLP.tsv	M21			released	s3://encode-public/2021/03/15/10a3aa40-a48b-41b4-8342-221468afbd1d/ENCFF406BLP.tsv	ENCODE4 v1.2.1 mm10 M21	released							EFP_13.5_NA_1
ENCFF241MSH	mm10	ENCSR538WYL	polyA plus RNA-seq	/mouse-donors/ENCDO956IXV/	UBERON:0012314	embryonic facial prominence	EFP	13.5	NA	2	EFP_13.5_NA_2	2	tissue	Mus musculus	polyadenylated mRNA		Ambion mirVana			unstranded	10/13/15	ENCODE	chemical (Nextera tagmentation)	>200	2	2_1	"/files/ENCFF363TFV/, /files/ENCFF367DGS/"	11865879	ENCODE Processing Pipeline	730380273b1140d597ef75e8f8d1e64e		https://www.encodeproject.org/files/ENCFF241MSH/@@download/ENCFF241MSH.tsv	M21			released	s3://encode-public/2021/03/15/06fc0e8a-c4c9-444f-bcce-58e30c751b9e/ENCFF241MSH.tsv	ENCODE4 v1.2.1 mm10 M21	released							EFP_13.5_NA_2
ENCFF040ZOW	mm10	ENCSR636CWO	polyA plus RNA-seq	/mouse-donors/ENCDO956IXV/	UBERON:0012314	embryonic facial prominence	EFP	15.5	NA	1	EFP_15.5_NA_1	1	tissue	Mus musculus	polyadenylated mRNA		Ambion mirVana			unstranded	10/13/15	ENCODE	chemical (Nextera tagmentation)	>200	1	1_1	"/files/ENCFF836VCY/, /files/ENCFF363TFV/"	11886729	ENCODE Processing Pipeline	8ddfd113901f6ab62a29c170738c91c7		https://www.encodeproject.org/files/ENCFF040ZOW/@@download/ENCFF040ZOW.tsv	M21			released	s3://encode-public/2021/03/15/c622166b-b5b7-4f98-86dd-791137153fdc/ENCFF040ZOW.tsv	ENCODE4 v1.2.1 mm10 M21	released							EFP_15.5_NA_1
